"t","c"
"2009-06-24 00:00:00","994274"
"2009-06-25 00:00:00","1032722"
"2009-06-26 00:00:00","1044140"
"2009-06-27 00:00:00","945234"
"2009-06-28 00:00:00","826348"
"2009-06-29 00:00:00","862208"
"2009-06-30 00:00:00","922070"
"2009-07-01 00:00:00","794836"
"2009-07-02 00:00:00","918434"
"2009-07-03 00:00:00","723834"
"2009-07-04 00:00:00","604256"
"2009-07-05 00:00:00","590552"
"2009-07-06 00:00:00","718702"
"2009-07-07 00:00:00","837142"
"2009-07-08 00:00:00","901098"
"2009-07-09 00:00:00","974072"
"2009-07-10 00:00:00","962438"
"2009-07-11 00:00:00","885836"
"2009-07-12 00:00:00","756496"
"2009-07-13 00:00:00","794608"
"2009-07-14 00:00:00","905796"
"2009-07-15 00:00:00","970522"
"2009-07-16 00:00:00","998164"
"2009-07-17 00:00:00","1032856"
"2009-07-18 00:00:00","877766"
"2009-07-19 00:00:00","782858"
"2009-07-20 00:00:00","821822"
"2009-07-21 00:00:00","955614"
"2009-07-22 00:00:00","972264"
"2009-07-23 00:00:00","1005184"
"2009-07-24 00:00:00","979892"
"2009-07-25 00:00:00","899286"
"2009-07-26 00:00:00","820490"
"2009-07-27 00:00:00","843176"
"2009-07-28 00:00:00","939220"
"2009-07-29 00:00:00","978300"
"2009-07-30 00:00:00","1010642"
"2009-07-31 00:00:00","996050"
"2009-08-01 00:00:00","877646"
"2009-08-02 00:00:00","788394"
"2009-08-03 00:00:00","834854"
"2009-08-04 00:00:00","931508"
"2009-08-05 00:00:00","975574"
"2009-08-06 00:00:00","985464"
"2009-08-07 00:00:00","971654"
"2009-08-08 00:00:00","836528"
"2009-08-09 00:00:00","730472"
"2009-08-10 00:00:00","835282"
"2009-08-11 00:00:00","915440"
"2009-08-12 00:00:00","931092"
"2009-08-13 00:00:00","985930"
"2009-08-14 00:00:00","984084"
"2009-08-15 00:00:00","886210"
"2009-08-16 00:00:00","802234"
"2009-08-17 00:00:00","839590"
"2009-08-18 00:00:00","929220"
"2009-08-19 00:00:00","942484"
"2009-08-20 00:00:00","997020"
"2009-08-21 00:00:00","972322"
"2009-08-22 00:00:00","841476"
"2009-08-23 00:00:00","748994"
"2009-08-24 00:00:00","765998"
"2009-08-25 00:00:00","853356"
"2009-08-26 00:00:00","924628"
"2009-08-27 00:00:00","932180"
"2009-08-28 00:00:00","983184"
"2009-08-29 00:00:00","848742"
"2009-08-30 00:00:00","763344"
"2009-08-31 00:00:00","758136"
"2009-09-01 00:00:00","831892"
"2009-09-02 00:00:00","878636"
"2009-09-03 00:00:00","915058"
"2009-09-04 00:00:00","897464"
"2009-09-05 00:00:00","787744"
"2009-09-06 00:00:00","695904"
"2009-09-07 00:00:00","628610"
"2009-09-08 00:00:00","863736"
"2009-09-09 00:00:00","977542"
"2009-09-10 00:00:00","1060776"
"2009-09-11 00:00:00","1099506"
"2009-09-12 00:00:00","1038936"
"2009-09-13 00:00:00","918060"
"2009-09-14 00:00:00","926236"
"2009-09-15 00:00:00","1001864"
"2009-09-16 00:00:00","1042468"
"2009-09-17 00:00:00","1070324"
"2009-09-18 00:00:00","1065418"
"2009-09-19 00:00:00","985488"
"2009-09-20 00:00:00","826352"
"2009-09-21 00:00:00","865770"
"2009-09-22 00:00:00","907224"
"2009-09-23 00:00:00","940212"
"2009-09-24 00:00:00","988718"
"2009-09-25 00:00:00","1068328"
"2009-09-26 00:00:00","1070094"
"2009-09-27 00:00:00","904048"
"2009-09-28 00:00:00","786144"
"2009-09-29 00:00:00","918212"
"2009-09-30 00:00:00","1009010"
"2009-10-01 00:00:00","1046018"
"2009-10-02 00:00:00","1094062"
"2009-10-03 00:00:00","1045706"
"2009-10-04 00:00:00","872316"
"2009-10-05 00:00:00","879786"
"2009-10-06 00:00:00","952992"
"2009-10-07 00:00:00","1005360"
"2009-10-08 00:00:00","1053096"
"2009-10-09 00:00:00","1091410"
"2009-10-10 00:00:00","1083522"
"2009-10-11 00:00:00","927292"
"2009-10-12 00:00:00","825500"
"2009-10-13 00:00:00","962438"
"2009-10-14 00:00:00","1020104"
"2009-10-15 00:00:00","1066666"
"2009-10-16 00:00:00","1101290"
"2009-10-17 00:00:00","1082272"
"2009-10-18 00:00:00","944788"
"2009-10-19 00:00:00","905530"
"2009-10-20 00:00:00","946692"
"2009-10-21 00:00:00","1007914"
"2009-10-22 00:00:00","1055408"
"2009-10-23 00:00:00","1120328"
"2009-10-24 00:00:00","1083454"
"2009-10-25 00:00:00","895088"
"2009-10-26 00:00:00","896742"
"2009-10-27 00:00:00","979172"
"2009-10-28 00:00:00","1024350"
"2009-10-29 00:00:00","1047098"
"2009-10-30 00:00:00","1107000"
"2009-10-31 00:00:00","1085708"
"2009-11-01 00:00:00","964804"
"2009-11-02 00:00:00","907632"
"2009-11-03 00:00:00","946466"
"2009-11-04 00:00:00","1007328"
"2009-11-05 00:00:00","1082458"
"2009-11-06 00:00:00","1090040"
"2009-11-07 00:00:00","1081446"
"2009-11-08 00:00:00","894514"
"2009-11-09 00:00:00","875312"
"2009-11-10 00:00:00","953812"
"2009-11-11 00:00:00","970698"
"2009-11-12 00:00:00","1067496"
"2009-11-13 00:00:00","1105786"
"2009-11-14 00:00:00","1082958"
"2009-11-15 00:00:00","881744"
"2009-11-16 00:00:00","883514"
"2009-11-17 00:00:00","953844"
"2009-11-18 00:00:00","1009224"
"2009-11-19 00:00:00","1062412"
"2009-11-20 00:00:00","1106942"
